room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
19966464,1471,7299364,Entire home/apt,,Berlin,,Neukölln,0,0.0,6,2.0,,96.0,,"Beau deux-pièces avec vue sur parc, près Tempelhof",2017-07-25 00:56:39.835170,52.469747,13.42821,0101000020E6100000ECA353573EDB2A40723271AB203C4A40
10879479,1471,22875963,Entire home/apt,,Berlin,,Mitte,59,4.5,4,1.0,,96.0,,Nice flat in Berlin,2017-07-25 00:56:37.459792,52.547034,13.365021,0101000020E6100000D9B45208E4BA2A4068E6C93505464A40
1211965,1471,1194258,Entire home/apt,,Berlin,,Mitte,7,5.0,2,0.0,,100.0,,Parkview Junior Suite II,2017-07-25 00:56:37.457171,52.532478,13.40146,0101000020E6100000E84D452A8CCD2A4074EB353D28444A40
16437243,1471,47336632,Entire home/apt,,Berlin,,Pankow,4,5.0,5,2.0,,95.0,,Bright and modern flat in the heart of Berlin,2017-07-25 00:56:37.454289,52.543408,13.412731,0101000020E61000003C17467A51D32A404031B2648E454A40
19598211,1471,137787528,Entire home/apt,,Berlin,,Charlottenburg-Wilmersdorf,0,0.0,4,2.0,,95.0,,Kurzurlaub im Herzens West-Berlins,2017-07-25 00:56:37.452093,52.492174,13.331022,0101000020E6100000568330B77BA92A4083F8C08EFF3E4A40
13887925,1471,20445556,Entire home/apt,,Berlin,,Mitte,3,4.5,4,1.0,,96.0,,Duplex in Wedding!,2017-07-25 00:56:37.448718,52.547981,13.346784,0101000020E6100000588D25AC8DB12A4029EACC3D24464A40
1033506,1471,5687919,Entire home/apt,,Berlin,,Mitte,110,4.5,2,1.0,,91.0,,Apartment near Potsdamer Place,2017-07-25 00:56:37.445965,52.502722,13.37149,0101000020E61000000395F1EF33BE2A40677DCA3159404A40
1843134,1471,9630847,Entire home/apt,,Berlin,,Charlottenburg-Wilmersdorf,39,4.5,4,2.0,,91.0,,"Sonnenwohnung 
ruhig und zentral",2017-07-25 00:56:37.443624,52.499112,13.298567,0101000020E6100000655419C6DD982A404485EAE6E23F4A40
19665679,1471,29750778,Entire home/apt,,Berlin,,Friedrichshain-Kreuzberg,0,0.0,3,1.0,,102.0,,Stylish Berlin Kreuzberg Apartment for the Summer,2017-07-25 00:56:37.441602,52.489512,13.376047,0101000020E610000090847D3B89C02A40F17F4754A83E4A40
4636280,1471,23042311,Entire home/apt,,Berlin,,Mitte,62,4.5,4,1.0,,96.0,,Living in the heart of Berlin,2017-07-25 00:56:37.438154,52.523633,13.385617,0101000020E6100000329067976FC52A409D0DF96706434A40
19354505,1471,66900828,Entire home/apt,,Berlin,,Tempelhof-Schöneberg,1,0.0,2,1.0,,96.0,,"Big, authentic, bright, cozy apartment in W-Berlin",2017-07-25 00:56:37.435622,52.476727,13.32817,0101000020E6100000800EF3E505A82A40620FED63053D4A40
10031729,1471,2437942,Entire home/apt,,Berlin,,Mitte,109,5.0,2,1.0,,83.0,,Schlafen in Berlin's ältestem Haus!,2017-07-25 00:56:37.432766,52.515599,13.414833,0101000020E6100000679AB0FD64D42A40D76CE525FF414A40
1946067,1471,1466063,Entire home/apt,,Berlin,,Pankow,103,5.0,2,1.0,,91.0,,Charming Apartment near Mauerpark,2017-07-25 00:56:37.430527,52.547528,13.407604,0101000020E61000000470B378B1D02A4078D2C26515464A40
3626048,1471,18105060,Entire home/apt,,Berlin,,Mitte,65,5.0,2,0.0,,88.0,,Mini Penthouse Mitte,2017-07-25 00:56:37.427783,52.528017,13.393438,0101000020E6100000DE019EB470C92A40B35DA10F96434A40
19457175,1471,45903660,Entire home/apt,,Berlin,,Pankow,0,0.0,4,2.0,,84.0,,lovely apartment next to Mauerpark,2017-07-25 00:56:37.422558,52.539446,13.407483,0101000020E6100000185A9D9CA1D02A40A0FA07910C454A40
19835794,1471,87442687,Entire home/apt,,Berlin,,Mitte,0,0.0,2,0.0,,95.0,,Fast Perfekt,2017-07-25 00:56:35.481177,52.532792,13.351233,0101000020E61000004C8DD0CFD4B32A4004C93B8732444A40
