participant_id,denominator,arrangement,decisionTime,probability,iconicity
8,100,Random,3043,20,square
8,100,Random,1399,80,square
8,10,Random,2447,40,square
8,100,Random,1782,60,square
8,100,Random,2062,40,square
8,10,Random,1681,80,square
8,10,Random,1347,30,square
8,100,Random,2164,10,square
8,100,Random,1613,50,square
8,10,Random,1348,10,square
8,10,Random,1181,0,square
8,100,Random,1096,70,square
8,10,Random,2931,50,square
8,100,Random,1430,90,square
8,100,Random,6327,30,square
8,10,Random,1849,60,square
8,10,Random,1380,90,square
8,10,Random,1331,20,square
8,10,Random,1165,70,square
8,10,Random,2928,10,house
8,100,Random,1891,10,house
8,100,Random,1960,30,house
8,100,Random,1472,20,house
8,100,Random,1514,80,house
8,10,Random,1445,100,house
8,10,Random,1097,70,house
8,10,Random,1231,60,house
8,100,Random,1747,60,house
8,10,Random,1714,30,house
8,10,Random,2465,50,house
8,100,Random,1628,40,house
8,10,Random,1451,90,house
8,100,Random,1680,90,house
8,100,Random,1596,50,house
8,10,Random,1496,20,house
8,10,Random,1413,80,house
8,100,Random,1812,70,house
8,10,Random,1798,40,house
9,10,NA,11727,60,naturalFrequency
9,100,NA,5312,90,naturalFrequency
9,100,NA,6136,60,naturalFrequency
9,100,NA,5224,40,naturalFrequency
9,100,NA,2007,50,naturalFrequency
9,10,NA,4616,10,naturalFrequency
9,10,NA,3967,90,naturalFrequency
9,10,NA,4192,70,naturalFrequency
9,10,NA,1816,30,naturalFrequency
9,10,NA,2632,100,naturalFrequency
9,100,NA,2640,10,naturalFrequency
9,100,NA,1609,80,naturalFrequency
9,10,NA,2456,40,naturalFrequency
9,100,NA,2679,20,naturalFrequency
9,10,NA,1904,80,naturalFrequency
9,10,NA,6817,20,naturalFrequency
9,100,NA,1672,70,naturalFrequency
9,100,NA,2424,30,naturalFrequency
9,10,NA,1392,50,naturalFrequency
9,10,Ordered,11742,50,square
9,100,Ordered,3703,50,square
9,100,Ordered,7544,40,square
9,100,Ordered,9712,30,square
9,100,Ordered,1561,70,square
9,10,Ordered,7521,30,square
9,10,Ordered,3328,0,square
9,100,Ordered,1815,10,square
9,100,Ordered,2111,60,square
9,100,Ordered,1225,80,square
9,100,Ordered,1047,90,square
9,10,Ordered,2104,60,square
9,10,Ordered,2177,70,square
9,10,Ordered,1728,20,square
9,100,Ordered,2791,20,square
9,10,Ordered,2119,80,square
9,10,Ordered,3287,40,square
9,10,Ordered,1631,10,square
9,10,Ordered,1520,90,square
9,10,Ordered,4711,60,house
9,10,Ordered,1192,70,house
9,100,Ordered,1708,60,house
9,10,Ordered,1727,20,house
9,10,Ordered,1256,80,house
9,100,Ordered,2556,70,house
9,100,Ordered,1820,10,house
9,100,Ordered,4373,50,house
9,100,Ordered,1244,40,house
9,10,Ordered,2600,40,house
9,100,Ordered,1421,80,house
9,10,Ordered,1831,10,house
9,100,Ordered,1260,90,house
9,100,Ordered,1437,20,house
9,10,Ordered,1783,90,house
9,10,Ordered,1166,30,house
9,10,Ordered,1207,50,house
9,100,Ordered,1223,100,house
9,100,Ordered,1627,30,house
9,10,Random,2154,70,square
9,100,Random,3207,60,square
9,10,Random,2015,10,square
9,100,Random,1312,100,square
9,100,Random,1215,50,square
9,10,Random,1624,80,square
9,100,Random,1335,10,square
9,10,Random,1799,90,square
9,100,Random,1983,30,square
9,100,Random,1151,40,square
9,100,Random,1263,20,square
9,10,Random,1944,20,square
9,100,Random,1823,80,square
9,100,Random,1654,90,square
9,100,Random,1023,70,square
9,10,Random,167729,50,square
9,10,Random,5912,40,square
9,10,Random,1239,60,square
9,10,Random,2184,30,square
9,10,Random,2791,50,house
9,100,Random,1277,70,house
9,10,Random,1575,30,house
9,10,Random,1711,80,house
9,100,Random,1236,100,house
9,100,Random,1557,40,house
9,100,Random,3804,50,house
9,100,Random,1101,60,house
9,10,Random,1696,70,house
9,10,Random,1382,10,house
9,10,Random,927,90,house
