denominator,participant_id,arrangement,iconicity,probability,decision,decisionTime
10,6,Random,square,80,evacuate,1312
10,6,Random,house,80,evacuate,8261
100,6,Random,house,80,evacuate,810
100,6,Random,house,20,stay,1202
10,6,Random,house,30,stay,1038
10,6,Random,house,50,evacuate,766
10,6,Random,house,10,stay,919
10,6,Random,house,100,evacuate,870
100,6,Random,house,10,stay,2177
10,6,Random,house,70,evacuate,1343
10,6,Random,house,40,evacuate,1667
100,6,Random,house,50,evacuate,1094
10,6,Random,house,90,evacuate,1050
100,6,Random,house,90,evacuate,747
100,6,Random,house,70,evacuate,797
10,6,Random,house,20,stay,1150
10,6,Random,house,60,evacuate,846
100,6,Random,house,60,evacuate,841
100,6,Random,house,30,evacuate,848
100,6,Random,house,40,evacuate,543
100,7,NA,naturalFrequency,50,evacuate,5488
100,7,NA,naturalFrequency,30,evacuate,7839
10,7,NA,naturalFrequency,80,evacuate,2256
10,7,NA,naturalFrequency,90,evacuate,1696
100,7,NA,naturalFrequency,90,evacuate,1592
10,7,NA,naturalFrequency,50,stay,2208
10,7,NA,naturalFrequency,10,stay,1864
10,7,NA,naturalFrequency,20,stay,1736
100,7,NA,naturalFrequency,40,stay,2416
100,7,NA,naturalFrequency,80,evacuate,1368
100,7,NA,naturalFrequency,70,evacuate,1600
100,7,NA,naturalFrequency,60,evacuate,1496
10,7,NA,naturalFrequency,40,stay,3328
10,7,NA,naturalFrequency,60,evacuate,1456
10,7,NA,naturalFrequency,30,stay,1664
100,7,NA,naturalFrequency,0,stay,5240
100,7,NA,naturalFrequency,20,stay,1792
100,7,NA,naturalFrequency,10,stay,1536
10,7,NA,naturalFrequency,70,evacuate,1648
10,7,Ordered,square,20,stay,3055
100,7,Ordered,square,20,stay,3240
100,7,Ordered,square,60,evacuate,1136
10,7,Ordered,square,40,stay,3352
10,7,Ordered,square,0,stay,1344
10,7,Ordered,square,80,evacuate,1264
10,7,Ordered,square,60,evacuate,1728
10,7,Ordered,square,70,evacuate,1008
100,7,Ordered,square,90,evacuate,1480
10,7,Ordered,square,10,stay,1264
100,7,Ordered,square,10,stay,1400
100,7,Ordered,square,50,evacuate,3664
10,7,Ordered,square,30,stay,2152
100,7,Ordered,square,40,stay,1824
100,7,Ordered,square,30,stay,1104
10,7,Ordered,square,50,evacuate,1608
10,7,Ordered,square,90,evacuate,1415
100,7,Ordered,square,70,evacuate,1360
100,7,Ordered,square,80,evacuate,872
10,7,Ordered,house,70,evacuate,2687
100,7,Ordered,house,90,evacuate,1627
100,7,Ordered,house,0,stay,1171
100,7,Ordered,house,10,stay,1915
100,7,Ordered,house,30,stay,1115
10,7,Ordered,house,40,stay,1687
10,7,Ordered,house,90,evacuate,935
10,7,Ordered,house,60,evacuate,2391
100,7,Ordered,house,80,evacuate,1508
10,7,Ordered,house,20,stay,1639
100,7,Ordered,house,50,stay,1803
100,7,Ordered,house,70,evacuate,900
10,7,Ordered,house,80,evacuate,1711
10,7,Ordered,house,10,stay,1023
100,7,Ordered,house,60,evacuate,1332
10,7,Ordered,house,50,evacuate,1551
100,7,Ordered,house,40,evacuate,1652
100,7,Ordered,house,20,stay,1316
10,7,Ordered,house,30,stay,1807
100,7,Random,square,30,stay,3871
10,7,Random,square,20,stay,1431
100,7,Random,square,90,evacuate,1808
100,7,Random,square,40,evacuate,1727
10,7,Random,square,60,evacuate,1320
10,7,Random,square,10,stay,1280
100,7,Random,square,80,evacuate,1440
100,7,Random,square,50,evacuate,1199
10,7,Random,square,70,evacuate,1752
10,7,Random,square,90,evacuate,896
100,7,Random,square,20,stay,1463
100,7,Random,square,10,stay,887
100,7,Random,square,70,evacuate,1048
100,7,Random,square,60,evacuate,879
10,7,Random,square,40,evacuate,1440
10,7,Random,square,30,stay,1248
10,7,Random,square,80,evacuate,1256
100,7,Random,square,0,stay,1224
10,7,Random,square,50,evacuate,1256
10,7,Random,house,100,evacuate,1566
10,7,Random,house,90,evacuate,943
10,7,Random,house,30,stay,1736
100,7,Random,house,30,stay,1357
100,7,Random,house,60,evacuate,1004
10,7,Random,house,20,stay,1336
100,7,Random,house,40,evacuate,1268
